Y,X1,X2
-2041,2948,-4989
7488,3830,3658
-1734,-898,-836
-3844,-2804,-1040
5570,3636,1934
4881,1131,3750
6447,4525,1922
-1691,-1957,266
-4234,-565,-3669
-4166,-4148,-18
7005,2851,4154
-2914,-4599,1685
6175,4718,1457
7751,4651,3100
5690,2420,3270
-3156,-3563,407
-7261,-3392,-3869
-3593,-67,-3526
4271,3191,1080
-459,-2726,2267
-1359,2839,-4198
850,-3893,4743
3671,336,3335
3279,-271,3550
-350,-2120,1770
1092,2981,-1889
-6092,-1119,-4973
4296,2361,1935
729,4775,-4046
-1311,645,-1956
-359,-1595,1236
-713,-861,148
2109,-2462,4571
4658,4896,-238
1350,4173,-2823
-4043,-1642,-2401
4842,3002,1840
-2181,-404,-1777
-1281,171,-1452
-5587,-1156,-4431
-308,1085,-1393
-5118,-3558,-1560
-1616,1454,-3070
11,485,-474
2275,993,1282
2828,8,2820
4745,3005,1740
-925,1848,-2773
-35,-4512,4477
-5543,-2912,-2631
4012,-286,4298
-6838,-3260,-3578
4034,-728,4762
1646,4544,-2898
6613,2059,4554
8214,3806,4408
-8747,-3756,-4991
4500,2219,2281
2693,-543,3236
4330,2528,1802
-4498,-3529,-969
-133,-1608,1475
-1251,-63,-1188
8058,3172,4886
8202,3936,4266
-5455,-1666,-3789
-6009,-1885,-4124
6510,2457,4053
2657,2005,652
2980,-972,3952
2459,1226,1233
3242,2728,514
-2600,-4819,2219
-3434,-4861,1427
1488,-1462,2950
-1981,-1908,-73
-5635,-1374,-4261
5252,2146,3106
-2353,1725,-4078
1401,-1901,3302
3604,-950,4554
5315,4029,1286
-7487,-4770,-2717
2042,1237,805
6228,1938,4290
-5629,-1677,-3952
3228,2490,738
1568,-1624,3192
-4377,-3234,-1143
8437,3569,4868
-750,-3228,2478
-647,-4108,3461
548,-1431,1979
2034,4810,-2776
4723,4158,565
-1145,3570,-4715
5414,778,4636
8806,3849,4957
-1367,1516,-2883
-6559,-3785,-2774
66,1051,-985
397,-1368,1765
3640,1389,2251
-3142,782,-3924
333,2372,-2039
458,4855,-4397
1177,-1549,2726
2314,4080,-1766
3172,2758,414
7901,4463,3438
-2165,-624,-1541
-8210,-4921,-3289
-5765,-3061,-2704
-3389,-3717,328
2072,-925,2997
-3174,-750,-2424
2817,3780,-963
-3706,239,-3945
361,-2508,2869
503,1819,-1316
-4675,-3679,-996
-1790,419,-2209
-3633,-1177,-2456
-6070,-3979,-2091
1014,-328,1342
-427,-20,-407
-3475,-982,-2493
-489,-4988,4499
-4486,394,-4880
325,4449,-4124
7616,4230,3386
784,130,654
-7065,-2444,-4621
-4445,-2661,-1784
4550,4462,88
2678,4365,-1687
-5728,-4771,-957
-1121,179,-1300
-391,-1900,1509
4040,98,3942
3517,3285,232
-640,3571,-4211
-1168,558,-1726
6576,2864,3712
6103,3230,2873
272,1846,-1574
9046,4488,4558
903,2586,-1683
1619,1692,-73
-4066,-4784,718
-4753,-1783,-2970
-5323,-4446,-877
1118,-2293,3411
-1877,-1526,-351
665,4380,-3715
-1417,-3199,1782
-1698,-2096,398
2343,-2403,4746
5445,1972,3473
4770,659,4111
-333,-2176,1843
-4551,-2625,-1926
-2251,2164,-4415
-8332,-4495,-3837
-383,2069,-2452
-441,-1544,1103
1082,804,278
6534,4371,2163
3733,4367,-634
-6568,-4262,-2306
-1025,-2049,1024
-7239,-2641,-4598
-1388,-2365,977
2422,2736,-314
-346,-4979,4633
823,2121,-1298
1865,-1846,3711
2812,4052,-1240
-2568,-648,-1920
3375,3929,-554
-2315,1386,-3701
28,-638,666
4499,-96,4595
-6201,-1614,-4587
-4160,-2709,-1451
722,667,55
-78,1275,-1353
-1780,714,-2494
-3836,-1646,-2190
3553,-1349,4902
-7335,-3244,-4091
-1693,-3516,1823
1523,3631,-2108
-2607,-43,-2564
-3555,-1386,-2169
-1825,872,-2697
3982,4212,-230
5957,4293,1664
-4212,-2970,-1242
-7237,-4093,-3144
960,631,329
-4116,-35,-4081
-745,-1086,341
-2335,1749,-4084
-2925,-3818,893
-2639,-3288,649
-8760,-4238,-4522
8022,3411,4611
-1432,1137,-2569
341,4539,-4198
-1524,-1675,151
2336,487,1849
1520,38,1482
4327,2172,2155
6113,1166,4947
-7335,-4751,-2584
3743,1660,2083
-2316,-1233,-1083
3767,1373,2394
-326,1080,-1406
3089,-636,3725
77,4816,-4739
-1435,204,-1639
2413,4431,-2018
8671,4769,3902
-3576,-3170,-406
-1209,2250,-3459
4990,766,4224
-6900,-1909,-4991
-1542,1394,-2936
-2803,-4014,1211
67,1403,-1336
-3668,-915,-2753
4193,4916,-723
4603,3965,638
-5723,-4787,-936
2319,3174,-855
-1385,-2137,752
-6374,-2193,-4181
-1556,-427,-1129
671,-3371,4042
-1270,-1286,16
271,-3878,4149
-3398,74,-3472
9004,4063,4941
-902,-2722,1820
-3367,-1230,-2137
-3186,357,-3543
-2718,-3054,336
-7343,-4727,-2616
-3588,-4310,722
603,-3148,3751
-5361,-2349,-3012
8175,3488,4687
7044,4963,2081
1674,1226,448
2120,2743,-623
-1589,-4534,2945
2046,4072,-2026
4422,-179,4601
-4895,63,-4958
-1190,1489,-2679
1047,47,1000
-1183,-543,-640
4728,1332,3396
1195,-65,1260
432,-231,663
-5299,-1521,-3778
2464,3347,-883
-3558,-1883,-1675
466,-1501,1967
2494,4575,-2081
-317,-886,569
3468,4450,-982
-5411,-2121,-3290
60,-1733,1793
-118,1589,-1707
-575,4001,-4576
5607,953,4654
-1790,-4324,2534
-153,-1940,1787
-4636,-169,-4467
8060,4953,3107
-7386,-3639,-3747
-742,-2785,2043
-4967,-2170,-2797
3416,4278,-862
379,2422,-2043
3056,1703,1353
-2026,2449,-4475
-969,1671,-2640
859,-521,1380
2827,-1727,4554
-79,4587,-4666
-3441,-1188,-2253
5494,1414,4080
9077,4399,4678
320,-531,851
-1256,-4566,3310
3154,4056,-902
8033,3165,4868
-1230,575,-1805
-5798,-2033,-3765
-4974,-1696,-3278
-6026,-1440,-4586
-7268,-3263,-4005
3967,3501,466
-754,-4040,3286
598,1244,-646
-5368,-1222,-4146
-1021,2024,-3045
-5654,-2476,-3178
1061,1855,-794
-2915,437,-3352
3195,4187,-992
83,-250,333
-3232,-1858,-1374
19,4078,-4059
8677,4838,3839
-8144,-4076,-4068
3048,2089,959
-568,3425,-3993
2321,-1661,3982
2270,-1224,3494
2084,2317,-233
-5076,-1700,-3376
-4242,-3246,-996
3984,1056,2928
1912,-1674,3586
3134,4557,-1423
-1082,3268,-4350
3758,2348,1410
5869,1519,4350
-1052,717,-1769
4667,4150,517
83,3690,-3607
3956,1400,2556
-4231,-4094,-137
6647,1895,4752
-3032,-787,-2245
-3224,-1792,-1432
-1786,-779,-1007
3798,2688,1110
4890,3393,1497
-641,1454,-2095
-1595,1332,-2927
-1473,-4154,2681
-5408,-425,-4983
1804,172,1632
-2554,994,-3548
-2707,-1076,-1631
431,3244,-2813
2716,2130,586
-6885,-4597,-2288
-2513,-2922,409
5691,3384,2307
-477,-4488,4011
-177,-4394,4217
-3460,-53,-3407
-2447,344,-2791
-4381,-1856,-2525
8596,3657,4939
1357,2506,-1149
6919,3410,3509
2527,-443,2970
3148,4840,-1692
-5496,-1615,-3881
4988,540,4448
3293,-549,3842
2373,-837,3210
-1859,-3947,2088
-2415,-3282,867
-1419,3414,-4833
2907,2133,774
-419,917,-1336
2014,66,1948
585,4421,-3836
-5751,-1352,-4399
-1242,1500,-2742
-146,-4418,4272
-5407,-2158,-3249
296,2675,-2379
4779,4983,-204
-5584,-4482,-1102
-4377,-539,-3838
-2323,1485,-3808
1087,-2489,3576
-5697,-1051,-4646
-302,3119,-3421
-3052,131,-3183
1250,-1291,2541
2930,-1133,4063
-5512,-865,-4647
-710,834,-1544
-177,791,-968
-248,-2512,2264
-3239,-4222,983
-8051,-4395,-3656
9278,4463,4815
-922,-4849,3927
-5342,-3306,-2036
-3378,-3799,421
2704,-1400,4104
1939,-466,2405
4514,3976,538
3641,3093,548
-1892,1041,-2933
-2930,-2020,-910
-1740,891,-2631
5697,1103,4594
7942,4381,3561
-3266,-3073,-193
1600,-148,1748
402,20,382
1183,2028,-845
4565,-407,4972
6370,3688,2682
-371,451,-822
-4123,-4997,874
-5836,-2623,-3213
-1779,1667,-3446
-2504,1896,-4400
-2367,1616,-3983
2681,2441,240
-206,2571,-2777
210,4672,-4462
521,1164,-643
-4923,-4143,-780
-2429,-488,-1941
-3846,1089,-4935
4295,1398,2897
4894,4477,417
-6315,-2777,-3538
251,4367,-4116
1043,-361,1404
4057,2962,1095
-567,-3143,2576
-3381,-4677,1296
925,-1731,2656
-806,46,-852
-3163,-4067,904
607,1334,-727
4712,1423,3289
-4899,-3015,-1884
328,4090,-3762
150,-4092,4242
-2,-4971,4969
-3806,-2244,-1562
1027,3099,-2072
1006,1788,-782
-6804,-4642,-2162
-1347,747,-2094
3900,4217,-317
-7471,-4301,-3170
-1353,1234,-2587
5418,4684,734
4565,705,3860
1987,4870,-2883
-1911,-849,-1062
-1402,3123,-4525
-3605,-355,-3250
4998,2675,2323
-5470,-1233,-4237
156,1822,-1666
5177,1111,4066
-272,1689,-1961
3487,-156,3643
6975,4765,2210
-3352,272,-3624
-3153,1136,-4289
-1740,-246,-1494
-8023,-4041,-3982
-2409,-2363,-46
-1720,906,-2626
7277,4957,2320
15,1421,-1406
4149,1918,2231
1525,3007,-1482
8205,4245,3960
6249,4111,2138
-3090,-3216,126
5084,3941,1143
-5553,-4296,-1257
1944,1286,658
4883,2937,1946
4354,-611,4965
-3317,586,-3903
8420,4003,4417
8308,4160,4148
-2357,-3553,1196
-1651,-4784,3133
-654,-2898,2244
1547,-246,1793
3315,1759,1556
-385,2275,-2660
7663,4932,2731
3586,3091,495
483,-793,1276
2454,3516,-1062
-455,-2607,2152
7775,4457,3318
-4195,-4370,175
5473,1612,3861
-6577,-4924,-1653
270,-4686,4956
-2658,-4940,2282
-3970,-4746,776
-1288,719,-2007
-4204,-4722,518
6720,4483,2237
-2671,870,-3541
-2179,-1499,-680
6552,2840,3712
-7638,-3515,-4123
-3653,-4844,1191
4042,2159,1883
-5596,-956,-4640
-3050,-2067,-983
-3045,25,-3070
-1190,-2928,1738
-45,-3822,3777
-4958,-1560,-3398
-5513,-1147,-4366
-257,1775,-2032
-1800,-2137,337
-3194,1075,-4269
-3455,-2263,-1192
9114,4610,4504
-7798,-4012,-3786
-1117,2350,-3467
331,-2676,3007
-3490,-140,-3350
3208,3089,119
-5797,-4342,-1455
-8061,-4708,-3353
-2768,-2419,-349
6038,3820,2218
3401,4791,-1390
3019,4129,-1110
-2582,-805,-1777
8214,3611,4603
-6082,-1834,-4248
3836,1059,2777
5464,2573,2891
-1378,1612,-2990
3419,4479,-1060
6307,2281,4026
-1071,-1104,33
3081,600,2481
3532,1332,2200
-73,-903,830
5118,2348,2770
-3831,35,-3866
9426,4547,4879
2252,-450,2702
-774,131,-905
-4028,-984,-3044
-3227,-268,-2959
7356,3274,4082
1062,1400,-338
3797,1758,2039
8280,3380,4900
8985,4963,4022
-2068,-4986,2918
-3437,844,-4281
-4792,-3163,-1629
2684,4522,-1838
-848,2299,-3147
7315,3664,3651
-6997,-3033,-3964
-5414,-861,-4553
-4885,-3813,-1072
3508,-475,3983
-4022,-3290,-732
1105,-2704,3809
-1537,1727,-3264
-3694,557,-4251
-4241,-1381,-2860
-2951,-2073,-878
6984,4905,2079
3400,1776,1624
-2253,-1835,-418
728,2712,-1984
5856,2949,2907
-2595,1767,-4362
5114,2019,3095
-254,-4203,3949
3944,3855,89
4876,4568,308
9280,4756,4524
3795,2462,1333
6692,2891,3801
-3222,-3557,335
-2353,-3003,650
-7040,-4898,-2142
3981,238,3743
5765,2025,3740
3453,2394,1059
-2543,1446,-3989
1211,-1252,2463
138,-3731,3869
4248,2998,1250
-2255,1862,-4117
-4475,-3264,-1211
5540,1109,4431
-4062,-3054,-1008
5542,2267,3275
-269,960,-1229
-3322,-2822,-500
-2952,-2619,-333
32,-2241,2273
-297,4161,-4458
3277,3909,-632
-1995,-2230,235
-793,3410,-4203
-5616,-1396,-4220
2445,4809,-2364
4943,2108,2835
285,-1837,2122
-829,-2636,1807
-2157,555,-2712
2858,40,2818
3194,-1716,4910
5519,1830,3689
7361,4024,3337
4599,1951,2648
-1647,402,-2049
-2016,-2162,146
1189,3375,-2186
-6878,-4158,-2720
-59,-3810,3751
-2706,1996,-4702
7521,2981,4540
-1555,-2477,922
-5396,-2571,-2825
-1094,1704,-2798
822,-1093,1915
-4607,211,-4818
-6212,-1870,-4342
3731,-466,4197
-3837,-2687,-1150
5797,1293,4504
6761,2856,3905
6786,4895,1891
-7412,-4850,-2562
1264,4030,-2766
2380,2355,25
5138,1740,3398
-1655,-3747,2092
658,-1789,2447
-152,-4765,4613
-1221,3528,-4749
-8551,-4228,-4323
-2267,276,-2543
-6650,-4286,-2364
2025,-829,2854
5403,3262,2141
-3209,-754,-2455
-3889,482,-4371
2527,-1504,4031
2231,505,1726
-2819,-847,-1972
3776,-1052,4828
2196,-1237,3433
-290,3262,-3552
539,2289,-1750
-1989,-3128,1139
-824,-2445,1621
5277,1189,4088
3587,2888,699
1798,644,1154
2459,602,1857
-7816,-3145,-4671
-7431,-3191,-4240
-6219,-2396,-3823
-214,4746,-4960
-7687,-2974,-4713
-4489,-1915,-2574
-935,-2821,1886
-4423,-3194,-1229
6117,3709,2408
1653,-338,1991
8618,4135,4483
9334,4551,4783
-2489,1737,-4226
-943,-4629,3686
4074,-485,4559
-1240,-3329,2089
2302,-1922,4224
1380,2158,-778
1709,1659,50
-4527,-531,-3996
-5087,-2328,-2759
-1816,-2754,938
959,4990,-4031
-2805,484,-3289
-7804,-4283,-3521
4469,759,3710
2714,4820,-2106
7054,3050,4004
851,-736,1587
-1216,-567,-649
-1121,-1121,0
5353,2038,3315
2197,-1929,4126
-8346,-4105,-4241
-8163,-4089,-4074
7080,3409,3671
5137,4022,1115
3016,-1103,4119
-2151,1305,-3456
6913,4288,2625
-3554,-4086,532
3305,616,2689
-2926,-2184,-742
7180,3727,3453
1828,955,873
1510,20,1490
-3404,-1655,-1749
4244,1969,2275
5546,1902,3644
3904,1790,2114
-969,-4280,3311
-4893,-1732,-3161
4903,3643,1260
2362,1893,469
3216,1904,1312
-3130,-814,-2316
-1213,2776,-3989
515,1245,-730
-1206,-4807,3601
-6019,-4591,-1428
1895,1100,795
-4887,-1245,-3642
-1908,-921,-987
2905,1433,1472
4017,4648,-631
7988,4493,3495
1467,-1385,2852
3395,3220,175
4110,3950,160
-561,881,-1442
1130,2680,-1550
3778,2321,1457
-5824,-2591,-3233
-99,2577,-2676
-200,2124,-2324
-407,2588,-2995
-6577,-3854,-2723
-975,-3641,2666
1257,-1554,2811
1376,-2004,3380
-3507,-1558,-1949
2335,-808,3143
-1918,-1120,-798
670,-1729,2399
-970,-2417,1447
-4067,-2617,-1450
2240,-727,2967
1497,-2122,3619
-2970,353,-3323
-1175,-1385,210
-3135,-962,-2173
7655,3026,4629
3518,566,2952
-3146,-1833,-1313
-93,-3714,3621
-3381,-2578,-803
2664,2462,202
7972,4940,3032
-2030,-1296,-734
-4889,-1695,-3194
508,-676,1184
3126,217,2909
3712,3390,322
3123,2462,661
4717,4507,210
383,306,77
8845,4820,4025
-965,-2603,1638
-2061,-1851,-210
5996,4205,1791
-204,-2806,2602
-1278,333,-1611
-2831,1505,-4336
-856,-169,-687
5893,2259,3634
-3086,-2712,-374
-40,-1782,1742
-3888,241,-4129
2787,1692,1095
898,2487,-1589
3989,4008,-19
-2241,505,-2746
4353,1535,2818
4334,4568,-234
1795,930,865
-4547,-348,-4199
-3129,-4483,1354
-6231,-4225,-2006
4732,4461,271
600,3825,-3225
-5003,-928,-4075
-1240,2630,-3870
3839,4815,-976
5185,1284,3901
-3252,-3273,21
-622,-3827,3205
-526,-558,32
-1874,-1980,106
-2039,794,-2833
-7332,-3557,-3775
2344,2566,-222
-6138,-1429,-4709
9742,4776,4966
5859,4517,1342
4540,3540,1000
-770,-562,-208
3926,-902,4828
-3741,-150,-3591
3628,289,3339
3427,3453,-26
-5314,-1883,-3431
3997,3982,15
2804,2808,-4
-3739,-74,-3665
791,-3253,4044
2043,-1153,3196
3746,-872,4618
-3341,-419,-2922
1515,2962,-1447
-1761,3002,-4763
-4032,-3044,-988
1381,4287,-2906
-3788,-2797,-991
5113,2674,2439
1168,654,514
9509,4855,4654
-5154,-2486,-2668
670,1994,-1324
5233,2033,3200
2014,-621,2635
2152,-1442,3594
-2119,2253,-4372
819,2835,-2016
3220,2554,666
72,2685,-2613
-3701,-2155,-1546
227,-1388,1615
276,290,-14
-918,202,-1120
-677,-4611,3934
-414,-3607,3193
2796,3429,-633
2438,125,2313
-2398,2173,-4571
-5530,-3277,-2253
4370,3198,1172
-1470,-798,-672
2683,3720,-1037
-6555,-4376,-2179
-1394,2991,-4385
1911,1865,46
-5,195,-200
1904,-2975,4879
623,-2410,3033
4439,1642,2797
-4839,-3689,-1150
1647,-1155,2802
4223,652,3571
3113,-611,3724
-405,1174,-1579
5199,4452,747
2484,473,2011
4046,-135,4181
1727,62,1665
386,279,107
-890,-2103,1213
7489,2845,4644
-2042,-4706,2664
174,3217,-3043
4854,4884,-30
-2000,-4730,2730
-74,-4891,4817
-1817,210,-2027
-4547,-1158,-3389
314,-4605,4919
121,2311,-2190
-5533,-4129,-1404
-3147,468,-3615
821,4919,-4098
-1053,440,-1493
2813,-1661,4474
1543,1286,257
-264,4411,-4675
-586,706,-1292
-1548,-2483,935
5121,1165,3956
-5687,-4258,-1429
-2179,-3301,1122
1153,4082,-2929
-4822,-2536,-2286
-6056,-4643,-1413
7172,3047,4125
-9752,-4993,-4759
5252,3573,1679
-14,-1371,1357
-5254,-791,-4463
338,3738,-3400
-6497,-1861,-4636
-3507,-580,-2927
4489,4152,337
-1326,-2300,974
-7471,-2763,-4708
-7724,-3346,-4378
2573,1288,1285
-4148,-10,-4138
-2269,-3417,1148
-4329,-3108,-1221
-5149,-3529,-1620
6194,3757,2437
-8808,-4854,-3954
-6147,-4202,-1945
-2187,-703,-1484
2897,-1071,3968
-2170,-3638,1468
-5972,-3116,-2856
1589,-1017,2606
-2581,191,-2772
-378,3456,-3834
7401,4504,2897
-186,-3144,2958
3859,1582,2277
2322,2265,57
-3850,-471,-3379
347,-2626,2973
-5788,-2580,-3208
-4842,-4351,-491
-5474,-2428,-3046
350,-3504,3854
-2193,-3460,1267
-3431,-694,-2737
-527,-4897,4370
-6975,-4509,-2466
5899,3635,2264
-1015,1032,-2047
-3702,-1872,-1830
3590,3694,-104
543,-3211,3754
3995,312,3683
652,4702,-4050
-992,886,-1878
-2435,-1978,-457
-598,-4857,4259
-1091,-3432,2341
-2676,-4040,1364
-2022,156,-2178
5216,3431,1785
-243,3875,-4118
-940,103,-1043
-6893,-2343,-4550
-6281,-1825,-4456
7526,4285,3241
9157,4785,4372
-806,1756,-2562
1175,-881,2056
1177,4689,-3512
-2933,-1546,-1387
-904,1469,-2373
3419,3692,-273
-6677,-4785,-1892
7793,2922,4871
-2192,2624,-4816
-3285,-975,-2310
7338,3865,3473
638,-2044,2682
8731,4401,4330
-6009,-4715,-1294
-3764,-457,-3307
-4376,-1245,-3131
-2264,-374,-1890
-1525,-4559,3034
6973,1973,5000
5254,3785,1469
3283,2245,1038
1966,861,1105
1634,-348,1982
2621,1074,1547
-736,3127,-3863
-1320,-3691,2371
-2251,1106,-3357
-5960,-1044,-4916
6894,4029,2865
-1097,-986,-111
-2872,2128,-5000
-7943,-4678,-3265
3695,1101,2594
7780,3742,4038
919,2517,-1598
-92,963,-1055
-1014,1529,-2543
4702,968,3734
1473,4518,-3045
-1017,-4886,3869
305,-2569,2874
2581,-2018,4599
1894,-2876,4770
2647,-1726,4373
4314,1173,3141
-5218,-3487,-1731
3448,-1518,4966
4197,1541,2656
3078,-192,3270
-2555,-3484,929
-1914,-4112,2198
-1166,1323,-2489
1109,-1481,2590
1443,-3241,4684
3820,988,2832
3317,-1092,4409
284,2610,-2326
343,-4232,4575
-3673,98,-3771
-1269,3456,-4725
-3432,1089,-4521
-284,-2359,2075
-5138,-762,-4376
-6442,-3473,-2969
1244,-2578,3822
-3863,64,-3927
7002,3618,3384
1454,-2580,4034
2463,342,2121
1544,-1008,2552
-7332,-2358,-4974
1070,-3344,4414
267,724,-457
4948,229,4719
-5794,-1520,-4274
-8532,-4947,-3585
357,-4275,4632
4835,434,4401
-3950,-407,-3543
-4968,-783,-4185
-7112,-2543,-4569
-1984,-751,-1233
5535,786,4749
-7725,-3623,-4102
780,4268,-3488
1456,-2004,3460
646,-4310,4956
3616,4904,-1288
-2543,160,-2703
2280,3341,-1061
-5305,-619,-4686
-645,-478,-167
-5000,-2597,-2403
-2067,1981,-4048
71,-1277,1348
4759,1835,2924
-1211,2345,-3556
209,-1085,1294
2621,1928,693
-2397,-538,-1859
7872,4729,3143
-3539,-3244,-295
-3548,213,-3761
-670,2547,-3217
2018,1593,425
2070,2636,-566
3295,1059,2236
-3249,-2426,-823
8,1905,-1897
4597,3070,1527
-1749,-4857,3108
337,-1571,1908
3723,1025,2698
2416,-1000,3416
-3932,-1975,-1957
5081,4365,716
6959,3818,3141
2851,1860,991
2359,3490,-1131
-2676,-3106,430
397,4002,-3605
8895,4453,4442
418,2509,-2091
2487,538,1949
-2940,-4619,1679
7873,3106,4767
-5135,-4499,-636
8097,4879,3218
3545,4133,-588
2022,-1836,3858
-2175,-3397,1222
2437,-2284,4721
-3909,-987,-2922
-3020,-697,-2323
-5936,-2999,-2937
-1392,-2506,1114
1039,3738,-2699
4995,1374,3621
-7294,-4334,-2960
6589,2673,3916
-3074,515,-3589
4883,1769,3114
-6136,-3547,-2589
1383,2912,-1529
1267,241,1026
-685,2992,-3677
-3189,843,-4032
-4270,-2953,-1317
2745,4800,-2055
5373,4436,937
-1329,-1024,-305
1948,1790,158
-1907,-1614,-293
4048,-910,4958
-674,2030,-2704
5328,3470,1858
2286,3218,-932
5453,4825,628
-1562,-4856,3294
903,-6,909
7343,3727,3616
-6695,-2078,-4617
-1053,3717,-4770
717,1364,-647
-5676,-2435,-3241
158,933,-775
3513,962,2551
-2781,2022,-4803
-4740,-3556,-1184
-3803,-4962,1159
-1198,-4852,3654
1383,347,1036
-1349,-2902,1553
6872,2113,4759
-3010,1577,-4587
6729,4523,2206
-4708,-1753,-2955
1574,2273,-699
-5849,-4639,-1210
-1241,2590,-3831
3047,-1127,4174
5768,4615,1153
2230,622,1608
4389,963,3426
3094,2149,945
607,3728,-3121
6203,4198,2005
-1758,1631,-3389
-1625,3009,-4634
1102,2942,-1840
-1880,1044,-2924
-2258,-271,-1987
-5666,-1313,-4353
4455,2968,1487
358,2735,-2377
648,-1902,2550
-1402,-300,-1102
6427,3997,2430
-1046,250,-1296
800,4830,-4030
-7366,-3519,-3847
1311,3404,-2093
-3098,-4574,1476
-7069,-2903,-4166
-3378,-4586,1208
-309,2749,-3058
9006,4372,4634
1778,3926,-2148
-4670,-2417,-2253
-5428,-3290,-2138
-5491,-2419,-3072
1905,-1663,3568
6895,2246,4649
-4521,-4175,-346
-3666,-2063,-1603
-464,3117,-3581
-4911,-2122,-2789
7742,4464,3278
2694,4903,-2209
2372,-49,2421
-443,-617,174
6656,2149,4507
-1539,-2071,532
-5629,-2279,-3350
4638,3347,1291
2666,1791,875
-1587,-2005,418
-2079,-4721,2642
808,1059,-251
-4045,-3550,-495
-3999,-1187,-2812
-940,1224,-2164
-1901,-4549,2648
-3222,-2445,-777
3201,1520,1681
-4793,-1204,-3589
165,-3082,3247
797,-3456,4253
2779,3997,-1218
5491,934,4557
-3097,-2694,-403
-4916,-843,-4073
-6287,-1710,-4577
-3812,297,-4109
-1076,-4025,2949
707,85,622
-9756,-4913,-4843
2376,3544,-1168
8204,4641,3563
1028,4107,-3079
-2709,2229,-4938
-7213,-3487,-3726
-792,1770,-2562
-7592,-2637,-4955
-3019,-3180,161
4246,3848,398
6365,2036,4329
6240,4797,1443
257,1164,-907
-9496,-4560,-4936
282,816,-534
-787,1098,-1885
-1720,-2293,573
6799,2419,4380
-2888,1231,-4119
2759,2393,366
1199,2518,-1319
-1303,2118,-3421
-514,-2275,1761
-2281,1197,-3478
-222,3531,-3753
-4454,-2027,-2427
-3832,-144,-3688
-5011,-3845,-1166
4042,301,3741
618,4993,-4375
-4844,-3557,-1287
-1891,-2294,403
-893,2632,-3525
1125,-2975,4100
-3749,-4920,1171
-7139,-4944,-2195
8723,4130,4593
-5430,-1033,-4397
8659,4082,4577
1411,-971,2382
-185,1008,-1193
2494,3909,-1415
-2717,1558,-4275
5763,3390,2373
6606,2199,4407
2772,2181,591
5866,3227,2639
-6411,-3739,-2672
3980,489,3491
3032,-706,3738
20,-3811,3831
-9581,-4789,-4792
6955,4915,2040
2729,4289,-1560
-5255,-3000,-2255
3078,248,2830
4124,1968,2156
565,1079,-514
